DD,HH,Day,Rentals
1,0,5,3
1,3,5,0
1,6,5,9
1,9,5,41
1,12,5,39
1,15,5,27
1,18,5,12
1,21,5,4
2,0,6,3
2,3,6,4
2,6,6,6
2,9,6,30
2,12,6,46
2,15,6,27
2,18,6,28
2,21,6,6
3,0,0,3
3,3,0,2
3,6,0,21
3,9,0,9
3,12,0,9
3,15,0,14
3,18,0,28
3,21,0,13
4,0,1,0
4,3,1,2
4,6,1,50
4,9,1,9
4,12,1,12
4,15,1,23
4,18,1,26
4,21,1,14
5,0,2,0
5,3,2,3
5,6,2,42
5,9,2,6
5,12,2,15
5,15,2,31
5,18,2,23
5,21,2,15
6,0,3,1
6,3,3,4
6,6,3,41
6,9,3,9
6,12,3,15
6,15,3,16
6,18,3,32
6,21,3,12
7,0,4,5
7,3,4,1
7,6,4,40
7,9,4,12
7,12,4,22
7,15,4,36
7,18,4,22
7,21,4,4
8,0,5,6
8,3,5,3
8,6,5,12
8,9,5,33
8,12,5,51
8,15,5,26
8,18,5,26
8,21,5,8
9,0,6,7
9,3,6,2
9,6,6,4
9,9,6,26
9,12,6,47
9,15,6,28
9,18,6,34
9,21,6,8
10,0,0,1
10,3,0,2
10,6,0,16
10,9,0,10
10,12,0,13
10,15,0,19
10,18,0,23
10,21,0,12
11,0,1,2
11,3,1,2
11,6,1,14
11,9,1,8
11,12,1,7
11,15,1,22
11,18,1,21
11,21,1,8
12,0,2,0
12,3,2,3
12,6,2,46
12,9,2,10
12,12,2,15
12,15,2,14
12,18,2,17
12,21,2,11
13,0,3,2
13,3,3,3
13,6,3,47
13,9,3,13
13,12,3,23
13,15,3,19
13,18,3,27
13,21,3,19
14,0,4,1
14,3,4,1
14,6,4,42
14,9,4,12
14,12,4,17
14,15,4,28
14,18,4,23
14,21,4,16
15,0,5,3
15,3,5,1
15,6,5,9
15,9,5,38
15,12,5,40
15,15,5,33
15,18,5,22
15,21,5,4
16,0,6,2
16,3,6,2
16,6,6,6
16,9,6,27
16,12,6,43
16,15,6,33
16,18,6,33
16,21,6,13
17,0,0,1
17,3,0,5
17,6,0,24
17,9,0,6
17,12,0,7
17,15,0,13
17,18,0,23
17,21,0,7
18,0,1,0
18,3,1,2
18,6,1,36
18,9,1,8
18,12,1,24
18,15,1,10
18,18,1,39
18,21,1,14
19,0,2,2
19,3,2,2
19,6,2,46
19,9,2,8
19,12,2,12
19,15,2,29
19,18,2,24
19,21,2,9
20,0,3,5
20,3,3,2
20,6,3,31
20,9,3,10
20,12,3,11
20,15,3,23
20,18,3,21
20,21,3,10
21,0,4,2
21,3,4,2
21,6,4,28
21,9,4,18
21,12,4,26
21,15,4,25
21,18,4,35
21,21,4,14
22,0,5,7
22,3,5,3
22,6,5,11
22,9,5,39
22,12,5,34
22,15,5,40
22,18,5,21
22,21,5,9
23,0,6,11
23,3,6,0
23,6,6,6
23,9,6,23
23,12,6,30
23,15,6,58
23,18,6,31
23,21,6,12
24,0,0,2
24,3,0,3
24,6,0,27
24,9,0,6
24,12,0,17
24,15,0,14
24,18,0,23
24,21,0,10
25,0,1,0
25,3,1,2
25,6,1,29
25,9,1,24
25,12,1,28
25,15,1,14
25,18,1,25
25,21,1,12
26,0,2,2
26,3,2,3
26,6,2,42
26,9,2,22
26,12,2,30
26,15,2,25
26,18,2,24
26,21,2,8
27,0,3,1
27,3,3,2
27,6,3,43
27,9,3,17
27,12,3,22
27,15,3,25
27,18,3,25
27,21,3,17
28,0,4,3
28,3,4,2
28,6,4,32
28,9,4,19
28,12,4,20
28,15,4,31
28,18,4,23
28,21,4,9
29,0,5,2
29,3,5,0
29,6,5,9
29,9,5,35
29,12,5,48
29,15,5,34
29,18,5,20
29,21,5,8
30,0,6,3
30,3,6,1
30,6,6,5
30,9,6,33
30,12,6,46
30,15,6,36
30,18,6,37
30,21,6,6
31,0,0,3
31,3,0,2
31,6,0,36
31,9,0,16
31,12,0,8
31,15,0,17
31,18,0,22
31,21,0,7
